Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,Box_Office_World,MPAA
The Bank Job,111,Crime; Drama; Thriller,Roger Donaldson,Dick Clement; Ian La Frenais,Jason Statham; Saffron Burrows; Stephen Campbell Moore,69/100,7.3,"106,074","$20,000,000 ","$30,028,592 ",,R
Revolutionary Road,119,Drama; Romance,Sam Mendes,Justin Haythe; Richard Yates,Leonardo DiCaprio; Kate Winslet; Christopher Fitzgerald,69/100,7.4,"98,827","$35,000,000 ","$22,911,480 ","$75,225,693 ",R
Body of Lies,128,Action; Drama; Thriller,Ridley Scott,William Monahan; David Ignatius,Leonardo DiCaprio; Russell Crowe; Mark Strong,57/100,7.1,"113,081","$70,000,000 ","$39,380,442 ",,R
Defiance,137,Action; Drama; History,Edward Zwick,Clayton Frohman; Edward Zwick,Daniel Craig; Liev Schreiber; Jamie Bell,58/100,7.1,"75,953","$32,000,000 ","$28,644,813 ",,R
Australia,165,Adventure; Drama; History,Baz Luhrmann,Stuart Beattie; Baz Luhrmann,Nicole Kidman; Hugh Jackman; Shea Adams,53/100,6.6,"72,080","$130,000,000 ","$49,554,002 ","$211,342,221 ",PG-13
Sex Drive,109,Adventure; Comedy; Romance,Sean Anders,Sean Anders; John Morris,Josh Zuckerman; Clark Duke; Amanda Crew,49/100,6.6,"50,333","$19,000,000 ","$8,402,485 ","$15,079,259 ",R
The Wrestler,109,Drama; Romance; Sport,Darren Aronofsky,Robert D. Siegel,Mickey Rourke; Marisa Tomei; Evan Rachel Wood,81/100,8,"187,832","$6,000,000 ","$26,236,603 ",,R
Bolt,96,Animation; Adventure; Comedy,Byron Howard,Dan Fogelman; Chris Williams,John Travolta; Miley Cyrus; Susie Essman,67/100,7,"84,745","$150,000,000 ","$114,053,579 ",,PG
The Reader,124,Drama; Romance,Stephen Daldry,David Hare; Bernhard Schlink,Kate Winslet; Ralph Fiennes; Bruno Ganz,58/100,7.6,"118,286","$32,000,000 ","$34,194,407 ",,R
21,123,Crime; Drama,Robert Luketic,Peter Steinfeld; Allan Loeb,Jim Sturgess; Kate Bosworth; Kevin Spacey,48/100,6.7,"124,462","$35,000,000 ","$81,159,365 ",,PG-13
Cloverfield,85,Action; Sci-Fi; Thriller,Matt Reeves,Drew Goddard,Mike Vogel; Jessica Lucas; Lizzy Caplan,64/100,7.2,"204,763","$25,000,000 ","$80,048,433 ","$170,764,026 ",PG-13
Mamma Mia!,108,Comedy; Musical; Romance,Phyllida Lloyd,Catherine Johnson; Catherine Johnson,Meryl Streep; Pierce Brosnan; Amanda Seyfried,51/100,6.3,"87,614","$52,000,000 ","$144,130,063 ","$602,609,487 ",PG-13
Sex and the City,145,Comedy; Drama; Romance,Michael Patrick King,Michael Patrick King; Candace Bushnell,Sarah Jessica Parker; Kim Cattrall; Cynthia Nixon,53/100,5.2,"74,030","$65,000,000 ","$152,647,258 ","$415,252,786 ",R
Changeling,141,Drama; History; Mystery,Clint Eastwood,J. Michael Straczynski,Angelina Jolie; Colm Feore; Amy Ryan,63/100,7.8,"135,749","$55,000,000 ","$35,707,327 ","$112,994,004 ",R
What Happens in Vegas,99,Comedy; Romance,Tom Vaughan,Dana Fox,Cameron Diaz; Ashton Kutcher; Rob Corddry,36/100,6,"87,898","$35,000,000 ","$80,276,912 ",,PG-13
Inkheart,106,Adventure; Family; Fantasy,Iain Softley,David Lindsay-Abaire; Cornelia Funke,Brendan Fraser; Andy Serkis; Eliza Bennett,,6,"36,701","$60,000,000 ","$17,303,424 ","$57,490,374 ",PG
Pendragon: Sword of His Father,,Adventure; Fantasy,Chad Burns,,Aaron Burns; Marilyn Burns; Chad Burns,,3.5,135,"$88,000 ",,"$415,000 ",
The House Bunny,97,Comedy; Romance,Fred Wolf,Karen McCullah Lutz; Kirsten Smith,Anna Faris; Colin Hanks; Emma Stone,55/100,5.4,"39,519",,"$48,237,389 ","$70,442,940 ",PG-13
Vicky Cristina Barcelona,96,Drama; Romance,Woody Allen,Woody Allen,Rebecca Hall; Scarlett Johansson; Javier Bardem,70/100,7.2,"119,923","$15,500,000 ","$23,213,577 ",,PG-13
The Chronicles of Narnia: Prince Caspian,150,Action; Adventure; Family,Andrew Adamson,Andrew Adamson; Christopher Markus,Ben Barnes; Skandar Keynes; Georgie Henley,62/100,6.6,"90,470","$225,000,000 ","$141,621,490 ","$419,651,413 ",PG
Valkyrie,121,Drama; History; Thriller,Bryan Singer,Christopher McQuarrie; Nathan Alexander,Tom Cruise; Bill Nighy; Carice van Houten,56/100,7.1,"113,097","$75,000,000 ","$83,077,833 ","$200,276,784 ",PG-13
Madagascar: Escape 2 Africa,89,Animation; Action; Adventure,Eric Darnell,Etan Cohen; Eric Darnell,Ben Stiller; Chris Rock; David Schwimmer,61/100,6.7,"76,443","$150,000,000 ","$179,982,968 ",,PG
Bedtime Stories,99,Comedy; Family; Fantasy,Adam Shankman,Matt Lopez; Tim Herlihy,Adam Sandler; Keri Russell; Courteney Cox,33/100,6,"46,170","$80,000,000 ","$109,993,847 ",,PG
27 Dresses,111,Comedy; Romance,Anne Fletcher,Aline Brosh McKenna,Katherine Heigl; James Marsden; Malin Akerman,47/100,6,"69,960","$30,000,000 ","$76,808,654 ","$160,259,319 ",PG-13
Eagle Eye,118,Action; Mystery; Thriller,D.J. Caruso,John Glenn; Travis Wright,Shia LaBeouf; Michelle Monaghan; Rosario Dawson,43/100,6.6,"106,683","$80,000,000 ","$101,111,837 ","$178,066,569 ",PG-13
Burn After Reading,96,Comedy; Crime; Drama,Ethan Coen,Joel Coen; Ethan Coen,Brad Pitt; Frances McDormand; George Clooney,63/100,7,"164,374","$37,000,000 ","$60,355,347 ","$163,720,069 ",R
Journey to the Center of the Earth,93,Action; Adventure; Family,Eric Brevig,Michael D. Weiss; Jennifer Flackett,Brendan Fraser; Josh Hutcherson; Anita Briem,57/100,5.7,"50,616","$45,000,000 ","$101,702,060 ",,PG
Get Smart,110,Action; Comedy; Thriller,Peter Segal,Tom J. Astle; Matt Ember,Steve Carell; Anne Hathaway; Alan Arkin,54/100,6.5,"115,619","$80,000,000 ","$130,319,208 ","$230,685,453 ",PG-13
The Duchess,110,Biography; Drama; History,Saul Dibb,Jeffrey Hatcher; Anders Thomas Jensen,Keira Knightley; Ralph Fiennes; Dominic Cooper,62/100,6.8,"36,543","&#163;13,500,000","$13,823,741 ","$43,306,325 ",PG-13
Hellboy II: The Golden Army,120,Action; Adventure; Fantasy,Guillermo del Toro,Guillermo del Toro; Guillermo del Toro,Ron Perlman; Selma Blair; Doug Jones,78/100,7.1,"133,891","$85,000,000 ","$75,754,670 ","$160,388,063 ",PG-13
Horton Hears a Who!,86,Animation; Adventure; Comedy,Jimmy Hayward,Ken Daurio; Cinco Paul,Jim Carrey; Steve Carell; Carol Burnett,71/100,6.9,"69,597","$85,000,000 ","$154,529,187 ",,G
Babylon A.D.,90,Action; Adventure; Sci-Fi,Mathieu Kassovitz,Maurice G. Dantec; Mathieu Kassovitz,Vin Diesel; Michelle Yeoh; Mlanie Thierry,26/100,5.4,"56,270","$70,000,000 ","$22,531,698 ",,PG-13
You Don't Mess with the Zohan,113,Action; Comedy; Drama,Dennis Dugan,Adam Sandler; Robert Smigel,Adam Sandler; John Turturro; Emmanuelle Chriqui,54/100,5.5,"101,983","$90,000,000 ","$100,018,837 ",,PG-13
Rambo,92,Action; Thriller; War,Sylvester Stallone,Art Monterastelli; Sylvester Stallone,Sylvester Stallone; Julie Benz; Matthew Marsden,46/100,7.1,"127,739","$50,000,000 ","$42,754,105 ","$113,244,290 ",R
Fool's Gold,112,Adventure; Comedy; Romance,Andy Tennant,John Claflin; Daniel Zelman,Matthew McConaughey; Kate Hudson; Donald Sutherland,29/100,5.5,"37,601","$70,000,000 ","$70,231,041 ","$111,231,041 ",PG-13
Max Payne,100,Action; Crime; Drama,John Moore,Beau Thorne; Sam Lake,Mark Wahlberg; Mila Kunis; Beau Bridges,31/100,5.3,"78,179","$35,000,000 ","$40,687,294 ",,PG-13
Harold &amp; Kumar Escape from Guantanamo Bay,114,Adventure; Comedy,Jon Hurwitz,Jon Hurwitz; Hayden Schlossberg,John Cho; Kal Penn; Neil Patrick Harris,57/100,6.6,"82,151","$12,000,000 ","$38,087,366 ",,R
Martyrs,99,Drama; Horror; Thriller,Pascal Laugier,Pascal Laugier,Morjana Alaoui; Mylne Jampano; Catherine Bgin,,7,"33,492","$6,500,000 ",,,R
The Other Boleyn Girl,115,Biography; Drama; History,Justin Chadwick,Peter Morgan; Philippa Gregory,Natalie Portman; Scarlett Johansson; Eric Bana,50/100,6.7,"54,339","$35,000,000 ","$26,814,957 ",,PG-13
The Happening,91,Sci-Fi; Thriller,M. Night Shyamalan,M. Night Shyamalan,Mark Wahlberg; Zooey Deschanel; John Leguizamo,34/100,5.1,"117,139","$48,000,000 ","$64,506,874 ","$163,403,799 ",R
The Strangers,86,Horror; Mystery; Thriller,Bryan Bertino,Bryan Bertino,Scott Speedman; Liv Tyler; Gemma Ward,47/100,6.1,"61,557","$10,000,000 ","$52,534,295 ",,R
Disaster Movie,87,Comedy,Jason Friedberg,Jason Friedberg; Aaron Seltzer,Carmen Electra; Vanessa Lachey; Nicole Parker,15/100,1.9,"54,865","$25,000,000 ","$14,190,901 ","$34,816,824 ",PG-13
Marley &amp; Me,115,Comedy; Drama; Family,David Frankel,Scott Frank; Don Roos,Owen Wilson; Jennifer Aniston; Eric Dane,53/100,7,"72,994","$60,000,000 ","$143,153,751 ","$244,082,376 ",PG
The Day the Earth Stood Still,104,Drama; Sci-Fi; Thriller,Scott Derrickson,David Scarpa; Edmund H. North,Keanu Reeves; Jennifer Connelly; Kathy Bates,40/100,5.4,"95,618","$80,000,000 ","$79,366,978 ","$230,831,978 ",PG-13
Star Wars: The Clone Wars,98,Animation; Action; Adventure,Dave Filoni,Henry Gilroy; Steven Melching,Matt Lanter; Nika Futterman; Tom Kane,35/100,5.6,"27,692","$8,500,000 ","$35,154,336 ","$68,282,844 ",PG
Let the Right One In,115,Drama; Horror,Tomas Alfredson,John Ajvide Lindqvist; John Ajvide Lindqvist,Kre Hedebrant; Lina Leandersson; Per Ragnar,82/100,8,"123,703","$4,000,000 ","$2,122,065 ","$7,282,007 ",R
Doubt,104,Drama; Mystery,John Patrick Shanley,John Patrick Shanley; John Patrick Shanley,Meryl Streep; Philip Seymour Hoffman; Amy Adams,68/100,7.5,"66,370","$20,000,000 ","$33,422,556 ",,PG-13
Step Up 2: The Streets,98,Drama; Music; Romance,Jon M. Chu,Toni Ann Johnson; Karen Barna,Robert Hoffman; Briana Evigan; Cassie Ventura,50/100,5.8,"42,327","$23,000,000 ","$58,017,783 ","$148,424,320 ",PG-13
"10,000 BC",109,Action; Adventure; Drama,Roland Emmerich,Roland Emmerich; Harald Kloser,Camilla Belle; Steven Strait; Marco Khan,34/100,4.9,"76,770","$105,000,000 ","$94,784,201 ","$269,784,201 ",PG-13
The Spiderwick Chronicles,96,Adventure; Family; Fantasy,Mark Waters,Karey Kirkpatrick; David Berenbaum,Freddie Highmore; Sarah Bolger; David Strathairn,62/100,6.6,"41,598","$90,000,000 ","$71,148,699 ",,PG
Bronson,92,Action; Biography; Crime,Nicolas Winding Refn,Brock Norman Brock; Nicolas Winding Refn,Tom Hardy; Kelly Adams; Luing Andrews,71/100,7,"36,452",,"$104,792 ",,R
Wild Child,124,Comedy; Drama; Romance,Nick Moore,Lucy Dahl,Emma Roberts; Aidan Quinn; Natasha Richardson,,5.8,"17,021","$20,000,000 ",,,PG-13
The Spirit,103,Action; Comedy; Crime,Frank Miller,Frank Miller; Will Eisner,Gabriel Macht; Samuel L. Jackson; Scarlett Johansson,30/100,4.8,"41,486","$60,000,000 ","$19,781,879 ",,PG-13
Milk,128,Biography; Drama; History,Gus Van Sant,Dustin Lance Black,Sean Penn; Josh Brolin; Emile Hirsch,84/100,7.7,"90,084","$20,000,000 ","$31,841,299 ",,R
The Mummy: Tomb of the Dragon Emperor,112,Action; Adventure; Fantasy,Rob Cohen,Alfred Gough; Miles Millar,Brendan Fraser; Jet Li; Maria Bello,31/100,5.2,"74,252","$145,000,000 ","$102,491,776 ","$401,128,639 ",PG-13
Vantage Point,90,Action; Crime; Drama,Pete Travis,Barry Levy,Dennis Quaid; Forest Whitaker; Matthew Fox,40/100,6.6,"95,132","$40,000,000 ","$72,266,306 ","$151,161,491 ",PG-13
Quarantine,89,Horror; Sci-Fi; Thriller,John Erick Dowdle,John Erick Dowdle; Drew Dowdle,Jennifer Carpenter; Steve Harris; Columbus Short,53/100,6,"39,621","$12,000,000 ","$31,691,811 ",,R
Outlander,115,Action; Adventure; Sci-Fi,Howard McCain,Dirk Blackman; Howard McCain,Jim Caviezel; Sophia Myles; Ron Perlman,40/100,6.2,"42,973","$50,000,000 ","$160,641 ",,R
Traitor,114,Action; Crime; Drama,Jeffrey Nachmanoff,Jeffrey Nachmanoff; Steve Martin,Don Cheadle; Guy Pearce; Archie Panjabi,60/100,7,"38,202","$22,000,000 ","$23,530,831 ",,PG-13
Nick and Norah's Infinite Playlist,90,Comedy; Drama; Music,Peter Sollett,Lorene Scafaria; Rachel Cohn,Michael Cera; Kat Dennings; Aaron Yoo,64/100,6.7,"48,411","$9,000,000 ","$31,487,293 ",,PG-13
Nim's Island,96,Adventure; Comedy; Family,Jennifer Flackett,Joseph Kwong; Paula Mazur,Jodie Foster; Gerard Butler; Abigail Breslin,55/100,6,"19,160","$37,000,000 ","$48,002,678 ","$100,074,624 ",PG
Mirrors,110,Horror; Mystery; Thriller,Alexandre Aja,Alexandre Aja; Grgory Levasseur,Kiefer Sutherland; Paula Patton; Amy Smart,35/100,6,"56,253","$35,000,000 ","$30,691,439 ",,R
The Ramen Girl,102,Comedy; Drama; Romance,Robert Allan Ackerman,Becca Topol,Brittany Murphy; Toshiyuki Nishida; Tammy Blanchard,,6.1,"3,951",,,,PG-13
Street Kings,109,Action; Crime; Drama,David Ayer,James Ellroy; Kurt Wimmer,Keanu Reeves; Forest Whitaker; Hugh Laurie,55/100,6.8,"71,316","$20,000,000 ","$26,415,649 ",,R
Punisher: War Zone,103,Action; Crime; Drama,Lexi Alexander,Nick Santora; Art Marcum,Ray Stevenson; Dominic West; Julie Benz,30/100,6,"32,269","$35,000,000 ","$7,948,159 ",,R
The Forbidden Kingdom,104,Action; Adventure; Fantasy,Rob Minkoff,John Fusco,Jackie Chan; Jet Li; Michael Angarano,57/100,6.6,"62,447","$55,000,000 ","$52,040,293 ",,PG-13
"Angus, Thongs and Perfect Snogging",100,Comedy; Drama,Gurinder Chadha,Gurinder Chadha; Paul Mayeda Berges,Georgia Groome; Aaron Taylor-Johnson; Karen Taylor,,6.3,"10,863",,,,PG-13
G.I. Joe: The Rise of Cobra,118,Action; Adventure; Sci-Fi,Stephen Sommers,Stuart Beattie; David Elliot,Dennis Quaid; Channing Tatum; Marlon Wayans,32/100,5.7,"109,405","$175,000,000 ","$150,010,209 ","$152,267,519 ",PG-13
Inglourious Basterds,153,Adventure; Drama; War,Quentin Tarantino,Quentin Tarantino,Brad Pitt; Diane Kruger; Eli Roth,69/100,8.3,"437,579","$75,000,000 ","$120,540,719 ","$321,455,689 ",R
Star Trek,127,Action; Adventure; Sci-Fi,J.J. Abrams,Roberto Orci; Alex Kurtzman,Chris Pine; Zachary Quinto; Simon Pegg,83/100,8,"292,388","$140,000,000 ","$257,704,099 ","$385,680,447 ",PG-13
The Hangover,100,Comedy,Todd Phillips,Jon Lucas; Scott Moore,Zach Galifianakis; Bradley Cooper; Justin Bartha,73/100,7.8,"334,326","$35,000,000 ","$277,322,503 ","$467,483,912 ",R
Up,96,Animation; Adventure; Comedy,Pete Docter,Pete Docter; Bob Peterson,Edward Asner; Jordan Nagai; John Ratzenberger,88/100,8.3,"320,471","$175,000,000 ","$293,004,164 ","$731,342,744 ",PG
Avatar,162,Action; Adventure; Fantasy,James Cameron,James Cameron,Sam Worthington; Zoe Saldana; Sigourney Weaver,83/100,8,"546,064","$237,000,000 ","$760,507,625 ","$2,782,275,172 ",PG-13
2012,158,Action; Adventure; Sci-Fi,Roland Emmerich,Roland Emmerich; Harald Kloser,John Cusack; Thandie Newton; Chiwetel Ejiofor,49/100,5.8,"173,500","$200,000,000 ","$166,112,167 ","$769,679,473 ",PG-13
X-Men Origins: Wolverine,107,Action; Adventure; Sci-Fi,Gavin Hood,David Benioff; Skip Woods,Hugh Jackman; Liev Schreiber; Ryan Reynolds,,6.7,"178,199","$150,000,000 ","$179,883,157 ","$373,062,864 ",PG-13
Sherlock Holmes,128,Action; Adventure; Crime,Guy Ritchie,Michael Robert Johnson; Anthony Peckham,Robert Downey Jr.; Jude Law; Rachel McAdams,57/100,7.6,"280,380","$90,000,000 ","$209,028,679 ","$524,028,679 ",PG-13
Watchmen,162,Action; Mystery; Sci-Fi,Zack Snyder,David Hayter; Alex Tse,Jackie Earle Haley; Patrick Wilson; Carla Gugino,56/100,7.6,"246,885","$130,000,000 ","$107,509,799 ","$185,258,983 ",R
The Blind Side,129,Biography; Drama; Sport,John Lee Hancock,John Lee Hancock; Michael Lewis,Quinton Aaron; Sandra Bullock; Tim McGraw,53/100,7.6,"115,013","$29,000,000 ","$255,959,475 ","$309,208,309 ",PG-13
He's Just Not That Into You,129,Comedy; Drama; Romance,Ken Kwapis,Abby Kohn; Marc Silverstein,Jennifer Aniston; Jennifer Connelly; Morgan Lily,47/100,6.3,"82,735","$40,000,000 ","$93,945,548 ","$165,033,701 ",PG-13
(500) Days of Summer,95,Comedy; Drama; Romance,Marc Webb,Scott Neustadter; Michael H. Weber,Zooey Deschanel; Joseph Gordon-Levitt; Geoffrey Arend,76/100,7.8,"215,393","$7,500,000 ","$32,391,374 ","$60,722,734 ",PG-13
Zombieland,88,Comedy; Horror,Ruben Fleischer,Rhett Reese; Paul Wernick,Jesse Eisenberg; Emma Stone; Woody Harrelson,73/100,7.7,"215,348","$23,600,000 ","$75,590,286 ",,R
Harry Potter and the Half-Blood Prince,153,Adventure; Family; Fantasy,David Yates,Steve Kloves; J.K. Rowling,Daniel Radcliffe; Emma Watson; Rupert Grint,78/100,7.4,"181,143","$250,000,000 ","$301,959,197 ","$934,416,487 ",PG
Law Abiding Citizen,109,Crime; Drama; Thriller,F. Gary Gray,Kurt Wimmer,Gerard Butler; Jamie Foxx; Leslie Bibb,34/100,7.3,"129,082","$50,000,000 ","$73,343,413 ","$126,690,726 ",R
Transformers: Revenge of the Fallen,150,Action; Adventure; Sci-Fi,Michael Bay,Ehren Kruger; Roberto Orci,Shia LaBeouf; Megan Fox; Josh Duhamel,35/100,5.9,"199,642","$200,000,000 ","$402,111,870 ","$836,303,693 ",PG-13
The Proposal,108,Comedy; Drama; Romance,Anne Fletcher,Pete Chiarelli,Sandra Bullock; Ryan Reynolds; Mary Steenburgen,48/100,6.7,"119,501","$40,000,000 ","$163,900,057 ",,PG-13
The Twilight Saga: New Moon,130,Adventure; Drama; Fantasy,Chris Weitz,Melissa Rosenberg; Stephenie Meyer,Kristen Stewart; Robert Pattinson; Taylor Lautner,44/100,4.5,"151,998","$50,000,000 ","$296,623,634 ","$709,827,462 ",PG-13
The Lovely Bones,135,Drama; Fantasy,Peter Jackson,Fran Walsh; Philippa Boyens,Rachel Weisz; Mark Wahlberg; Saoirse Ronan,42/100,6.6,"79,671","$65,000,000 ","$43,818,839 ","$93,621,340 ",PG-13
"I Love You, Man",105,Comedy; Romance,John Hamburg,John Hamburg; Larry Levin,Paul Rudd; Jason Segel; Rashida Jones,70/100,7.1,"110,238","$40,000,000 ","$71,109,289 ",,R
17 Again,102,Comedy; Drama; Fantasy,Burr Steers,Jason Filardi,Zac Efron; Matthew Perry; Leslie Mann,48/100,6.3,"80,943","$20,000,000 ","$64,167,069 ","$136,267,476 ",PG-13
Up in the Air,109,Drama; Romance,Jason Reitman,Walter Kirn; Jason Reitman,George Clooney; Vera Farmiga; Anna Kendrick,83/100,7.5,"175,453","$25,000,000 ","$83,813,460 ","$163,227,071 ",R
Terminator Salvation,115,Action; Drama; Sci-Fi,McG,John D. Brancato; Michael Ferris,Christian Bale; Sam Worthington; Anton Yelchin,52/100,6.7,"180,900","$200,000,000 ","$125,322,469 ","$371,353,001 ",PG-13
Fast &amp; Furious,107,Action; Crime; Drama,Justin Lin,Chris Morgan; Gary Scott Thompson,Vin Diesel; Paul Walker; Michelle Rodriguez,45/100,6.5,"100,697","$85,000,000 ","$155,064,265 ","$363,164,265 ",PG-13
District 9,112,Action; Sci-Fi; Thriller,Neill Blomkamp,Neill Blomkamp; Terri Tatchell,Sharlto Copley; David James; Jason Cope,81/100,8,"333,687","$30,000,000 ","$115,502,313 ",,R
The Time Traveler's Wife,107,Drama; Fantasy; Romance,Robert Schwentke,Bruce Joel Rubin; Audrey Niffenegger,Eric Bana; Rachel McAdams; Ron Livingston,47/100,7,"69,622","$39,000,000 ","$63,414,846 ",,PG-13
Knowing,121,Drama; Mystery; Sci-Fi,Alex Proyas,Ryne Douglas Pearson; Juliet Snowden,Nicolas Cage; Chandler Canterbury; Rose Byrne,41/100,6.2,"126,062","$50,000,000 ","$79,948,113 ",,PG-13
The Ugly Truth,96,Comedy; Romance,Robert Luketic,Nicole Eastman; Karen McCullah Lutz,Katherine Heigl; Gerard Butler; Bree Turner,28/100,6.4,"90,670","$38,000,000 ","$88,915,214 ",,R
The Girl with the Dragon Tattoo,152,Crime; Mystery; Thriller,Niels Arden Oplev,Nikolaj Arcel; Rasmus Heisterberg,Michael Nyqvist; Noomi Rapace; Ewa Frling,76/100,7.8,"111,659","$13,000,000 ","$10,095,170 ","$104,395,170 ",R
Jennifer's Body,102,Comedy; Horror,Karyn Kusama,Diablo Cody,Megan Fox; Amanda Seyfried; Adam Brody,47/100,5.1,"59,471","$16,000,000 ","$16,195,523 ",,R
3 Idiots,170,Comedy; Drama; Romance,Rajkumar Hirani,Rajkumar Hirani; Abhijit Joshi,Aamir Khan; Madhavan; Mona Singh,67/100,8.3,"64,240",,"$6,532,908 ","$80,000,000 ",PG-13
Moon,97,Drama; Sci-Fi,Duncan Jones,Duncan Jones; Nathan Parker,Sam Rockwell; Kevin Spacey; Dominique McElligott,67/100,8,"145,861","$5,000,000 ","$5,009,677 ",,R
9,79,Animation; Action; Adventure,Shane Acker,Pamela Pettler; Shane Acker,Elijah Wood; Jennifer Connelly; Crispin Glover,60/100,7,"70,059","$30,000,000 ","$31,743,332 ","$48,428,063 ",PG-13
Public Enemies,140,Biography; Crime; Drama,Michael Mann,Ronan Bennett; Michael Mann,Christian Bale; Johnny Depp; James Russo,70/100,7,"149,306","$100,000,000 ","$97,104,620 ","$214,104,620 ",R
Night at the Museum: Battle of the Smithsonian,105,Action; Adventure; Comedy,Shawn Levy,Robert Ben Garant; Thomas Lennon,Ben Stiller; Owen Wilson; Amy Adams,42/100,5.9,"66,670","$150,000,000 ","$177,233,619 ",,PG
Pandorum,108,Action; Horror; Sci-Fi,Christian Alvart,Travis Milloy; Travis Milloy,Dennis Quaid; Ben Foster; Cam Gigandet,28/100,6.8,"78,050","$33,000,000 ","$10,330,853 ",,R
The Road,111,Adventure; Drama,John Hillcoat,Cormac McCarthy; Joe Penhall,Viggo Mortensen; Charlize Theron; Kodi Smit-McPhee,64/100,7.3,"108,845","$20,000,000 ","$56,692 ",,R
Angels &amp; Demons,138,Mystery; Thriller,Ron Howard,David Koepp; Akiva Goldsman,Tom Hanks; Ewan McGregor; Ayelet Zurer,48/100,6.6,"127,061","$150,000,000 ","$133,375,846 ","$485,930,816 ",PG-13
Push,111,Action; Sci-Fi; Thriller,Paul McGuigan,David Bourla,Camilla Belle; Dakota Fanning; Chris Evans,36/100,6,"62,675","$38,000,000 ","$31,806,100 ",,PG-13
Couples Retreat,113,Comedy,Peter Billingsley,Jon Favreau; Vince Vaughn,Vince Vaughn; Malin Akerman; Jon Favreau,23/100,5.4,"55,427","$60,000,000 ","$109,176,215 ",,PG-13
The Imaginarium of Doctor Parnassus,123,Adventure; Fantasy; Mystery,Terry Gilliam,Terry Gilliam; Charles McKeown,Christopher Plummer; Lily Cole; Heath Ledger,65/100,6.9,"86,745","$30,000,000 ","$7,689,607 ",,PG-13
Cloudy with a Chance of Meatballs,90,Animation; Comedy; Family,Phil Lord,Phil Lord; Chris Miller,Anna Faris; Bill Hader; Bruce Campbell,66/100,7,"68,804","$100,000,000 ","$124,870,275 ",,PG
Ice Age: Dawn of the Dinosaurs,94,Animation; Action; Adventure,Carlos Saldanha,Peter Ackerman; Michael Berg,Ray Romano; John Leguizamo; Denis Leary,50/100,7,"91,045","$90,000,000 ","$196,519,585 ","$886,686,817 ",PG
The Secret in Their Eyes,129,Drama; Mystery; Thriller,Juan Jos Campanella,Eduardo Sacheri; Juan Jos Campanella,Ricardo Darn; Soledad Villamil; Pablo Rago,81/100,8.2,"63,645","$2,000,000 ","$6,390,014 ","$33,965,843 ",R
Year One,97,Adventure; Comedy; Sci-Fi,Harold Ramis,Harold Ramis; Gene Stupnitsky,Jack Black; Michael Cera; Olivia Wilde,34/100,4.8,"53,282","$60,000,000 ","$43,337,279 ",,PG-13
Legion,100,Action; Fantasy; Horror,Scott Stewart,Peter Schink; Scott Stewart,Paul Bettany; Dennis Quaid; Charles S. Dutton,32/100,5.1,"52,331","$26,000,000 ","$40,168,080 ","$67,918,658 ",R
Surrogates,89,Action; Sci-Fi; Thriller,Jonathan Mostow,Michael Ferris; John D. Brancato,Bruce Willis; Radha Mitchell; Ving Rhames,45/100,6.2,"101,484","$80,000,000 ","$38,542,418 ",,PG-13
Crank: High Voltage,96,Action; Comedy; Crime,Mark Neveldine,Mark Neveldine; Brian Taylor,Jason Statham; Amy Smart; Clifton Collins Jr.,41/100,6.2,"67,014","$20,000,000 ","$13,630,226 ","$34,560,577 ",R
Gamer,95,Action; Sci-Fi; Thriller,Mark Neveldine,Mark Neveldine; Brian Taylor,Gerard Butler; Michael C. Hall; Ludacris,27/100,5.7,"73,676","$50,000,000 ","$20,488,579 ","$40,828,540 ",R
Mr. Nobody,141,Drama; Fantasy; Romance,Jaco Van Dormael,Jaco Van Dormael,Jared Leto; Sarah Polley; Diane Kruger,,7.8,"53,248","$47,000,000 ",,"$2,331,721 ",
Monsters vs Aliens,94,Animation; Action; Adventure,Rob Letterman,Maya Forbes; Wallace Wolodarsky,Reese Witherspoon; Rainn Wilson; Stephen Colbert,56/100,6.6,"66,966","$175,000,000 ","$198,351,526 ",,PG
Hachi: A Dog's Tale,93,Drama; Family,Lasse Hallstrm,Stephen P. Lindsey; Kaneto Shind,Richard Gere; Joan Allen; Cary-Hiroyuki Tagawa,,8.1,"49,182","$16,000,000 ",,"$45,000,000 ",G
The Princess and the Frog,97,Animation; Family; Fantasy,Ron Clements,Ron Clements; John Musker,Anika Noni Rose; Keith David; Oprah Winfrey,73/100,7.1,"49,945","$105,000,000 ","$104,400,899 ","$267,045,765 ",G
Orphan,123,Mystery; Thriller,Jaume Collet-Serra,David Johnson; Alex Mace,Vera Farmiga; Peter Sarsgaard; Isabelle Fuhrman,42/100,6.9,"78,718",,"$41,573,740 ","$6,826,736 ",R
Fantastic Mr. Fox,87,Animation; Adventure; Comedy,Wes Anderson,Roald Dahl; Wes Anderson,George Clooney; Meryl Streep; Bill Murray,83/100,7.8,"78,142","$40,000,000 ","$21,002,919 ","$46,471,023 ",PG
My Sister's Keeper,109,Drama,Nick Cassavetes,Jeremy Leven; Nick Cassavetes,Cameron Diaz; Abigail Breslin; Alec Baldwin,51/100,7.3,"43,629","$30,000,000 ","$49,185,998 ",,PG-13
